,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
"arCOG11555@1|root,arCOG11555@2157|Archaea",3.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"COG4066@1|root,arCOG03215@2157|Archaea,2Y0A8@28890|Euryarchaeota,23PQN@183925|Methanobacteria",3.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0
"COG0342@1|root,arCOG03055@2157|Archaea,2XU5A@28890|Euryarchaeota,23NSV@183925|Methanobacteria",3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
"arCOG06468@1|root,arCOG06468@2157|Archaea,2Y1AQ@28890|Euryarchaeota,23P8Y@183925|Methanobacteria",2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
"COG1600@1|root,arCOG02740@2157|Archaea,2Y6D7@28890|Euryarchaeota,23PPG@183925|Methanobacteria",2.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0
"arCOG11271@1|root,arCOG11271@2157|Archaea",2.0,3.0,2.0,3.0,0.0,2.0,6.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0
"arCOG01210@1|root,arCOG01210@2157|Archaea,2Y52Q@28890|Euryarchaeota,23PUD@183925|Methanobacteria",2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
"arCOG10857@1|root,arCOG10857@2157|Archaea,2Y4UI@28890|Euryarchaeota",2.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
"COG1881@1|root,arCOG04702@2157|Archaea,2XXMX@28890|Euryarchaeota",2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
"COG1773@1|root,arCOG04391@2157|Archaea,2Y080@28890|Euryarchaeota",2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0
"COG0681@1|root,arCOG01739@2157|Archaea,2XYEA@28890|Euryarchaeota,23P1Z@183925|Methanobacteria",2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
"COG1668@1|root,arCOG01470@2157|Archaea,2XU06@28890|Euryarchaeota",2.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
"COG1422@1|root,arCOG02673@2157|Archaea,2XSX8@28890|Euryarchaeota,23P4B@183925|Methanobacteria",2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
"COG1846@1|root,arCOG03177@2157|Archaea",2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0
"COG0842@1|root,arCOG01463@2157|Archaea,2XVQJ@28890|Euryarchaeota,23NM6@183925|Methanobacteria",2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"arCOG10246@1|root,arCOG10246@2157|Archaea",2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0
"arCOG04854@1|root,arCOG04854@2157|Archaea,2Y31X@28890|Euryarchaeota,23PCQ@183925|Methanobacteria",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"COG1131@1|root,arCOG00194@2157|Archaea,2XUT0@28890|Euryarchaeota",2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
"arCOG03597@1|root,arCOG03597@2157|Archaea,2Y60H@28890|Euryarchaeota",2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
"COG1266@1|root,arCOG09164@2157|Archaea,2XY6Y@28890|Euryarchaeota,23PUB@183925|Methanobacteria",2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
"COG1968@1|root,arCOG04761@2157|Archaea,2XTYX@28890|Euryarchaeota,23NY7@183925|Methanobacteria",2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
"COG1366@1|root,arCOG06891@2157|Archaea",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
"arCOG14558@1|root,arCOG14558@2157|Archaea",2.0,3.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
"COG1300@1|root,arCOG01994@2157|Archaea",2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
"COG0341@1|root,arCOG03054@2157|Archaea,2XTMX@28890|Euryarchaeota,23NZ5@183925|Methanobacteria",2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
"arCOG10442@1|root,arCOG10442@2157|Archaea",2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
"COG0614@1|root,arCOG03303@2157|Archaea,2XVSW@28890|Euryarchaeota",2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
